ID,Priorite,Domaine,Donnees requises,Prerequis,Etapes,Resultat attendu,Statut,Observations
F-01,P0,Auth Admin,"Compte admin valide","URL admin accessible","1) Ouvrir l'UI admin. 2) Saisir email/mot de passe admin. 3) Valider.","Dashboard visible, session active.",,
F-02,P0,Auth Admin,"Compte admin valide","Session admin active","1) Cliquer Deconnexion. 2) Confirmer si demande. 3) Recharger la page.","Redirection login, accès bloqué.",,
F-03,P0,Auth Commercial,"Compte commercial A","URL front commercial accessible","1) Ouvrir front commercial. 2) Saisir credentials. 3) Valider.","Accès conversations et contacts.",,
F-04,P1,Auth Commercial,"Compte commercial B","Compte commercial A déjà connecté ailleurs","1) Ouvrir autre navigateur/profil. 2) Se connecter avec commercial B. 3) Vérifier données.","Sessions isolées, pas de fuite de données.",,
WS-01,P0,WebSocket,"Compte commercial connecté","Conversation list chargée","1) Couper le Wi‑Fi. 2) Attendre 5–10s. 3) Réactiver le Wi‑Fi. 4) Attendre reconnexion.","Reconnexion automatique, données rafraîchies.",,
WS-02,P1,WebSocket,"Compte commercial connecté","Connexion initiale OK","1) Couper le réseau. 2) Observer la bannière d'erreur.","Alerte 'Connexion perdue' visible.",,
C-01,P0,Conversations,"10 conversations existantes","Compte commercial connecté","1) Aller sur la vue principale. 2) Observer la liste.","Liste complète affichée.",,
C-02,P1,Conversations,"Au moins 1 conversation non lue","Compte commercial connecté","1) Filtrer 'Non lus'. 2) Comparer au total.","Seulement non lues visibles.",,
C-03,P1,Conversations,"Au moins 1 conversation urgente","Compte commercial connecté","1) Filtrer 'Urgent'.", "Seulement urgentes visibles.",,
C-04,P1,Conversations,"Conversation avec nom/tel connu","Compte commercial connecté","1) Rechercher par nom. 2) Rechercher par tel. 3) Rechercher par texte dernier message.","Résultats cohérents.",,
C-05,P0,Conversation,"Conversation non lue","Compte commercial connecté","1) Ouvrir la conversation non lue.","Unread passe à 0, messages chargés.",,
M-01,P0,Message,"Conversation ouverte","Socket connecté","1) Taper un message. 2) Envoyer.","Message passe de sending à envoyé.",,
M-02,P0,Message,"Numéro client réel","Conversation ouverte","1) Envoyer un message texte. 2) Vérifier réception sur WhatsApp client.","Message reçu côté client.",,
M-03,P0,Message entrant,"Numéro client réel","Commercial connecté","1) Depuis téléphone client, envoyer un message. 2) Observer front.","Message visible en temps réel, unread incrémenté.",,
M-04,P1,Read,"Message entrant non lu","Commercial connecté","1) Ouvrir la conversation. 2) Attendre 1–2s.","Statut lu mis à jour.",,
M-05,P2,Typing,"2 commerciaux connectés","Conversation ouverte","1) Commercial A commence à écrire. 2) Commercial B observe.","Indicateur 'typing' visible puis disparaît.",,
MED-01,P0,Media,"Fichier image valide","Conversation ouverte","1) Cliquer pièce jointe. 2) Choisir image. 3) Envoyer.","Image visible dans chat et reçue côté client.",,
MED-02,P1,Media,"Fichier PDF valide","Conversation ouverte","1) Joindre PDF. 2) Envoyer.","Document visible dans chat et reçu côté client.",,
MED-03,P1,Media,"Fichier audio valide","Conversation ouverte","1) Joindre audio. 2) Envoyer.","Audio visible dans chat et reçu côté client.",,
