"ID","CATEGORIE","SOUS_CATEGORIE","CAS_DE_TEST","PRECONDITIONS","ETAPES","RESULTAT_ATTENDU","CRITICITE","STATUT","OBSERVATIONS"
"D-001","DISPATCH","Webhook entrant","Réception d'un message Whapi valide","Channel Whapi configuré, backend démarré, secret webhook défini","1. Simuler POST /whapi/webhook avec payload valide (chat_id, from, text, from_me=false). 2. Vérifier les logs serveur. 3. Vérifier en BDD table whatsapp_message.","Message inséré en BDD, direction=IN, traceId présent dans logs, pas d'erreur 500","CRITIQUE","À tester",""
"D-002","DISPATCH","Webhook entrant","Rejet d'un message from_me=true","Channel configuré","1. POST /whapi/webhook avec from_me=true. 2. Vérifier BDD et logs.","Aucun message créé, log indiquant skip, pas d'assignation déclenchée","CRITIQUE","À tester",""
"D-003","DISPATCH","Webhook entrant","Idempotence – doublon webhook même message","Message déjà traité (même provider_message_id)","1. Envoyer 2 fois le même payload webhook. 2. Vérifier count BDD sur whatsapp_message.","Un seul message en BDD, second appel ignoré sans erreur 500","CRITIQUE","À tester",""
"D-004","DISPATCH","Webhook entrant","Validation signature WHAPI_WEBHOOK_SECRET","Secret invalide dans header","1. POST /whapi/webhook avec mauvais header signature. 2. Vérifier réponse HTTP.","Retour 401 ou 403, aucun traitement déclenché","HAUTE","À tester",""
"D-005","DISPATCH","Webhook entrant","Payload vide ou malformé","Backend démarré","1. POST /whapi/webhook avec body vide {}. 2. POST avec JSON invalide. 3. Vérifier logs.","Retour 400 ou traitement gracieux, aucune exception non catchée en BDD","HAUTE","À tester",""
"D-006","DISPATCH","Webhook entrant","Message avec media (image)","Channel configuré, poste actif","1. POST webhook avec payload type=image (sans text). 2. Vérifier whatsapp_message et whatsapp_media.","Message créé (text vide ou null), entrée dans whatsapp_media, direction=IN","HAUTE","À tester",""
"D-007","DISPATCH","Webhook entrant","Message audio/voix","Channel configuré, poste actif","1. POST webhook type=audio/voice. 2. Vérifier whatsapp_media.","Media lié au message, type correct, pas d'erreur","MOYENNE","À tester",""
"D-008","DISPATCH","Webhook entrant","Message document/PDF","Channel configuré, poste actif","1. POST webhook type=document. 2. Vérifier whatsapp_media.","Media créé avec file_name, lien vers message correct","MOYENNE","À tester",""
"D-009","DISPATCH","Webhook entrant","Message de localisation","Channel configuré","1. POST webhook type=location avec lat/lon. 2. Vérifier media.","Media de type location avec latitude et longitude non null","BASSE","À tester",""
"D-010","DISPATCH","Normalisation","Route FF_UNIFIED_WEBHOOK_ROUTER=true (architecture unifiée)","Feature flag activé","1. Envoyer webhook Whapi. 2. Vérifier que UnifiedIngressService est appelé (logs). 3. Vérifier que le chemin legacy n'est pas pris.","Log ""INCOMING_RECEIVED"" via unified path, normalisation via WhapiAdapter","CRITIQUE","À tester",""
